Instrument,BID,ASK,TRDPRC_1,OPEN_PRC,CLOSE_PRC
FFX24,95.21,95.215,95.215,95.225,
2024-08-19 06:09:21,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 06:09:35,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 06:09:49,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 06:10:03,FFX24,95.21,95.22,95.215,95.225,
2024-08-19 06:10:18,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 06:10:32,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 06:10:46,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 06:11:01,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 06:11:15,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 06:11:29,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 06:11:43,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 06:11:58,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 06:12:12,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 06:12:26,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 06:12:40,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 06:12:54,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 06:13:08,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 06:13:23,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 06:13:37,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 06:13:51,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 06:14:06,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 06:14:20,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 06:14:34,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 06:14:48,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 06:15:02,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 06:15:16,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 06:15:31,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 06:15:45,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 06:16:00,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 06:16:14,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 06:17:02,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 06:17:16,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 06:17:30,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 06:17:45,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 06:17:59,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 06:18:13,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 06:18:28,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 06:18:42,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 06:18:56,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 06:19:11,FFX24,95.21,95.22,95.215,95.225,
2024-08-19 06:19:25,FFX24,95.21,95.22,95.215,95.225,
2024-08-19 06:19:40,FFX24,95.21,95.22,95.215,95.225,
2024-08-19 06:19:54,FFX24,95.215,95.22,95.215,95.225,
2024-08-19 06:20:09,FFX24,95.215,95.22,95.215,95.225,
2024-08-19 06:20:23,FFX24,95.215,95.22,95.215,95.225,
2024-08-19 06:20:38,FFX24,95.215,95.22,95.215,95.225,
2024-08-19 06:20:52,FFX24,95.215,95.22,95.215,95.225,
2024-08-19 06:21:06,FFX24,95.215,95.22,95.215,95.225,
2024-08-19 06:21:21,FFX24,95.215,95.22,95.215,95.225,
2024-08-19 06:21:35,FFX24,95.215,95.22,95.215,95.225,
2024-08-19 06:21:49,FFX24,95.215,95.22,95.215,95.225,
2024-08-19 06:22:04,FFX24,95.215,95.22,95.215,95.225,
2024-08-19 06:22:18,FFX24,95.215,95.22,95.215,95.225,
2024-08-19 06:22:33,FFX24,95.215,95.22,95.215,95.225,
2024-08-19 06:22:47,FFX24,95.215,95.22,95.215,95.225,
2024-08-19 06:23:02,FFX24,95.215,95.22,95.215,95.225,
2024-08-19 06:23:16,FFX24,95.215,95.22,95.215,95.225,
2024-08-19 06:23:30,FFX24,95.215,95.22,95.215,95.225,
2024-08-19 06:23:45,FFX24,95.215,95.22,95.215,95.225,
2024-08-19 06:23:59,FFX24,95.215,95.22,95.22,95.225,
2024-08-19 06:24:13,FFX24,95.215,95.22,95.22,95.225,
2024-08-19 06:24:28,FFX24,95.215,95.22,95.22,95.225,
2024-08-19 06:24:42,FFX24,95.215,95.22,95.22,95.225,
2024-08-19 06:24:57,FFX24,95.215,95.22,95.22,95.225,
2024-08-19 06:25:11,FFX24,95.215,95.22,95.22,95.225,
2024-08-19 06:25:25,FFX24,95.215,95.22,95.22,95.225,
2024-08-19 06:25:40,FFX24,95.215,95.22,95.22,95.225,
2024-08-19 06:25:54,FFX24,95.22,95.225,95.22,95.225,
2024-08-19 06:26:09,FFX24,95.22,95.225,95.22,95.225,
