Instrument,BID,ASK,TRDPRC_1,OPEN_PRC,CLOSE_PRC
FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:47:12,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:47:26,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:47:40,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:47:55,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:48:09,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:48:24,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:48:38,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:48:52,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:53:02,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:53:16,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:53:30,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:53:45,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:53:59,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:54:13,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:54:27,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:54:41,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:54:55,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:55:10,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:55:24,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:55:38,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:55:52,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:56:06,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:56:20,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:56:34,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:56:49,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:57:03,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:57:17,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:57:31,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:57:45,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:57:59,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:58:13,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:58:28,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:58:42,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:58:56,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:59:10,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:59:24,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:59:38,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:59:53,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:07:55,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:08:09,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:08:23,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:08:38,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:08:52,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:09:06,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:09:21,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:09:35,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:09:49,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:10:03,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:10:18,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:10:32,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:10:46,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:11:01,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:11:15,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:11:29,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:11:43,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:11:58,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:12:12,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:12:26,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:12:40,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:12:54,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:13:08,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:13:23,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:13:37,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:13:51,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:14:06,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:14:20,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:14:34,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:14:48,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:15:02,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:15:16,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:15:31,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:15:45,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:16:00,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:16:14,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:17:02,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:17:16,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:17:30,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:17:45,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:17:59,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:18:13,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:18:28,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:18:42,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:18:56,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:19:11,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:19:25,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:19:40,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:19:54,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:20:09,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:20:23,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:20:38,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:20:52,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:21:06,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:21:21,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:21:35,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:21:49,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:22:04,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:22:18,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:22:33,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:22:47,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:23:02,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:23:16,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:23:30,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:23:45,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:23:59,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:24:13,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:24:28,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:24:42,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:24:57,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:25:11,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:25:25,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:25:40,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:25:54,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 06:26:09,FFQ24,94.67,94.6725,94.6725,94.6725,
