Instrument,BID,ASK,TRDPRC_1,OPEN_PRC,CLOSE_PRC
FFF25,95.615,95.62,95.62,95.635,
2024-08-19 06:08:09,FFF25,95.62,95.625,95.62,95.635,
2024-08-19 06:08:23,FFF25,95.62,95.625,95.62,95.635,
2024-08-19 06:08:38,FFF25,95.62,95.625,95.62,95.635,
2024-08-19 06:08:52,FFF25,95.62,95.625,95.62,95.635,
2024-08-19 06:09:06,FFF25,95.62,95.625,95.62,95.635,
2024-08-19 06:09:21,FFF25,95.62,95.625,95.62,95.635,
2024-08-19 06:09:35,FFF25,95.62,95.625,95.62,95.635,
2024-08-19 06:09:49,FFF25,95.62,95.625,95.62,95.635,
2024-08-19 06:10:03,FFF25,95.62,95.625,95.62,95.635,
2024-08-19 06:10:18,FFF25,95.62,95.625,95.62,95.635,
2024-08-19 06:10:32,FFF25,95.62,95.625,95.62,95.635,
2024-08-19 06:10:46,FFF25,95.62,95.625,95.62,95.635,
2024-08-19 06:11:01,FFF25,95.62,95.625,95.62,95.635,
2024-08-19 06:11:15,FFF25,95.62,95.625,95.62,95.635,
2024-08-19 06:11:29,FFF25,95.62,95.625,95.62,95.635,
2024-08-19 06:11:43,FFF25,95.62,95.625,95.62,95.635,
2024-08-19 06:11:58,FFF25,95.62,95.625,95.62,95.635,
2024-08-19 06:12:12,FFF25,95.62,95.625,95.62,95.635,
2024-08-19 06:12:26,FFF25,95.62,95.625,95.62,95.635,
2024-08-19 06:12:40,FFF25,95.62,95.625,95.62,95.635,
2024-08-19 06:12:54,FFF25,95.62,95.625,95.62,95.635,
2024-08-19 06:13:08,FFF25,95.62,95.625,95.62,95.635,
2024-08-19 06:13:23,FFF25,95.62,95.625,95.62,95.635,
2024-08-19 06:13:37,FFF25,95.62,95.625,95.62,95.635,
2024-08-19 06:13:51,FFF25,95.62,95.625,95.62,95.635,
2024-08-19 06:14:06,FFF25,95.62,95.625,95.62,95.635,
2024-08-19 06:14:20,FFF25,95.62,95.625,95.62,95.635,
2024-08-19 06:14:34,FFF25,95.62,95.625,95.62,95.635,
2024-08-19 06:14:48,FFF25,95.62,95.625,95.62,95.635,
2024-08-19 06:15:02,FFF25,95.62,95.625,95.62,95.635,
2024-08-19 06:15:16,FFF25,95.62,95.625,95.62,95.635,
2024-08-19 06:15:31,FFF25,95.62,95.625,95.62,95.635,
2024-08-19 06:15:45,FFF25,95.62,95.625,95.62,95.635,
2024-08-19 06:16:00,FFF25,95.62,95.625,95.62,95.635,
2024-08-19 06:16:14,FFF25,95.62,95.625,95.62,95.635,
2024-08-19 06:17:02,FFF25,95.62,95.625,95.62,95.635,
2024-08-19 06:17:16,FFF25,95.62,95.625,95.62,95.635,
2024-08-19 06:17:30,FFF25,95.62,95.625,95.62,95.635,
2024-08-19 06:17:45,FFF25,95.62,95.625,95.62,95.635,
2024-08-19 06:17:59,FFF25,95.62,95.625,95.62,95.635,
2024-08-19 06:18:13,FFF25,95.62,95.625,95.62,95.635,
2024-08-19 06:18:28,FFF25,95.62,95.625,95.62,95.635,
2024-08-19 06:18:42,FFF25,95.62,95.625,95.62,95.635,
2024-08-19 06:18:56,FFF25,95.62,95.625,95.62,95.635,
2024-08-19 06:19:11,FFF25,95.62,95.625,95.625,95.635,
2024-08-19 06:19:25,FFF25,95.62,95.625,95.625,95.635,
2024-08-19 06:19:40,FFF25,95.62,95.625,95.625,95.635,
2024-08-19 06:19:54,FFF25,95.625,95.63,95.625,95.635,
2024-08-19 06:20:09,FFF25,95.625,95.63,95.625,95.635,
2024-08-19 06:20:23,FFF25,95.625,95.63,95.625,95.635,
2024-08-19 06:20:38,FFF25,95.625,95.63,95.625,95.635,
2024-08-19 06:20:52,FFF25,95.625,95.63,95.625,95.635,
2024-08-19 06:21:06,FFF25,95.625,95.63,95.625,95.635,
2024-08-19 06:21:21,FFF25,95.625,95.63,95.625,95.635,
2024-08-19 06:21:35,FFF25,95.625,95.63,95.625,95.635,
2024-08-19 06:21:49,FFF25,95.625,95.63,95.625,95.635,
2024-08-19 06:22:04,FFF25,95.625,95.63,95.625,95.635,
2024-08-19 06:22:18,FFF25,95.625,95.63,95.625,95.635,
2024-08-19 06:22:33,FFF25,95.625,95.63,95.625,95.635,
2024-08-19 06:22:47,FFF25,95.625,95.63,95.625,95.635,
2024-08-19 06:23:02,FFF25,95.625,95.63,95.625,95.635,
2024-08-19 06:23:16,FFF25,95.625,95.63,95.625,95.635,
2024-08-19 06:23:30,FFF25,95.625,95.63,95.625,95.635,
2024-08-19 06:23:45,FFF25,95.625,95.63,95.625,95.635,
2024-08-19 06:23:59,FFF25,95.625,95.63,95.63,95.635,
2024-08-19 06:24:13,FFF25,95.625,95.63,95.63,95.635,
2024-08-19 06:24:28,FFF25,95.625,95.63,95.63,95.635,
2024-08-19 06:24:42,FFF25,95.625,95.63,95.63,95.635,
2024-08-19 06:24:57,FFF25,95.625,95.63,95.63,95.635,
2024-08-19 06:25:11,FFF25,95.625,95.63,95.63,95.635,
2024-08-19 06:25:25,FFF25,95.625,95.63,95.63,95.635,
2024-08-19 06:25:40,FFF25,95.625,95.63,95.63,95.635,
2024-08-19 06:25:54,FFF25,95.63,95.635,95.63,95.635,
2024-08-19 06:26:09,FFF25,95.63,95.635,95.63,95.635,
