Instrument,BID,ASK,TRDPRC_1,OPEN_PRC,CLOSE_PRC
FFK25,96.23,96.235,96.245,96.255,
2024-08-19 06:09:49,FFK25,96.235,96.24,96.23,96.255,
2024-08-19 06:10:03,FFK25,96.235,96.24,96.23,96.255,
2024-08-19 06:10:18,FFK25,96.23,96.24,96.23,96.255,
2024-08-19 06:10:32,FFK25,96.235,96.24,96.23,96.255,
2024-08-19 06:10:46,FFK25,96.23,96.24,96.23,96.255,
2024-08-19 06:11:01,FFK25,96.235,96.24,96.23,96.255,
2024-08-19 06:11:15,FFK25,96.235,96.24,96.23,96.255,
2024-08-19 06:11:29,FFK25,96.235,96.24,96.23,96.255,
2024-08-19 06:11:43,FFK25,96.235,96.24,96.23,96.255,
2024-08-19 06:11:58,FFK25,96.235,96.24,96.23,96.255,
2024-08-19 06:12:12,FFK25,96.235,96.24,96.23,96.255,
2024-08-19 06:12:26,FFK25,96.235,96.24,96.23,96.255,
2024-08-19 06:12:40,FFK25,96.235,96.24,96.23,96.255,
2024-08-19 06:12:54,FFK25,96.235,96.24,96.23,96.255,
2024-08-19 06:13:08,FFK25,96.235,96.24,96.23,96.255,
2024-08-19 06:13:23,FFK25,96.235,96.24,96.23,96.255,
2024-08-19 06:13:37,FFK25,96.235,96.24,96.23,96.255,
2024-08-19 06:13:51,FFK25,96.235,96.24,96.23,96.255,
2024-08-19 06:14:06,FFK25,96.235,96.24,96.23,96.255,
2024-08-19 06:14:20,FFK25,96.235,96.24,96.23,96.255,
2024-08-19 06:14:34,FFK25,96.235,96.24,96.23,96.255,
2024-08-19 06:14:48,FFK25,96.235,96.24,96.23,96.255,
2024-08-19 06:15:02,FFK25,96.235,96.24,96.23,96.255,
2024-08-19 06:15:16,FFK25,96.235,96.24,96.23,96.255,
2024-08-19 06:15:31,FFK25,96.235,96.24,96.23,96.255,
2024-08-19 06:15:45,FFK25,96.235,96.24,96.23,96.255,
2024-08-19 06:16:00,FFK25,96.235,96.24,96.23,96.255,
2024-08-19 06:16:14,FFK25,96.235,96.24,96.23,96.255,
2024-08-19 06:17:02,FFK25,96.235,96.24,96.23,96.255,
2024-08-19 06:17:16,FFK25,96.235,96.24,96.23,96.255,
2024-08-19 06:17:30,FFK25,96.235,96.24,96.23,96.255,
2024-08-19 06:17:45,FFK25,96.235,96.24,96.23,96.255,
2024-08-19 06:17:59,FFK25,96.235,96.24,96.23,96.255,
2024-08-19 06:18:13,FFK25,96.235,96.24,96.23,96.255,
2024-08-19 06:18:28,FFK25,96.235,96.24,96.23,96.255,
2024-08-19 06:18:42,FFK25,96.235,96.24,96.23,96.255,
2024-08-19 06:18:56,FFK25,96.235,96.24,96.23,96.255,
2024-08-19 06:19:11,FFK25,96.235,96.245,96.23,96.255,
2024-08-19 06:19:25,FFK25,96.235,96.245,96.23,96.255,
2024-08-19 06:19:40,FFK25,96.235,96.245,96.23,96.255,
2024-08-19 06:19:54,FFK25,96.24,96.245,96.23,96.255,
2024-08-19 06:20:09,FFK25,96.24,96.245,96.23,96.255,
2024-08-19 06:20:23,FFK25,96.24,96.245,96.23,96.255,
2024-08-19 06:20:38,FFK25,96.24,96.245,96.23,96.255,
2024-08-19 06:20:52,FFK25,96.24,96.245,96.23,96.255,
2024-08-19 06:21:06,FFK25,96.24,96.245,96.23,96.255,
2024-08-19 06:21:21,FFK25,96.24,96.245,96.23,96.255,
2024-08-19 06:21:35,FFK25,96.24,96.245,96.23,96.255,
2024-08-19 06:21:49,FFK25,96.24,96.245,96.23,96.255,
2024-08-19 06:22:04,FFK25,96.24,96.245,96.23,96.255,
2024-08-19 06:22:18,FFK25,96.24,96.25,96.23,96.255,
2024-08-19 06:22:33,FFK25,96.24,96.25,96.23,96.255,
2024-08-19 06:22:47,FFK25,96.24,96.25,96.23,96.255,
2024-08-19 06:23:02,FFK25,96.24,96.25,96.23,96.255,
2024-08-19 06:23:16,FFK25,96.24,96.25,96.23,96.255,
2024-08-19 06:23:30,FFK25,96.24,96.25,96.23,96.255,
2024-08-19 06:23:45,FFK25,96.24,96.25,96.23,96.255,
2024-08-19 06:23:59,FFK25,96.245,96.25,96.23,96.255,
2024-08-19 06:24:13,FFK25,96.245,96.25,96.23,96.255,
2024-08-19 06:24:28,FFK25,96.245,96.25,96.23,96.255,
2024-08-19 06:24:42,FFK25,96.245,96.25,96.23,96.255,
2024-08-19 06:24:57,FFK25,96.245,96.25,96.23,96.255,
2024-08-19 06:25:11,FFK25,96.245,96.25,96.23,96.255,
2024-08-19 06:25:25,FFK25,96.245,96.25,96.23,96.255,
2024-08-19 06:25:40,FFK25,96.245,96.25,96.23,96.255,
2024-08-19 06:25:54,FFK25,96.245,96.255,96.25,96.255,
2024-08-19 06:26:09,FFK25,96.245,96.255,96.25,96.255,
