Instrument,BID,ASK,TRDPRC_1,OPEN_PRC,CLOSE_PRC
FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:53:02,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:53:16,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:53:30,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:53:45,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:53:59,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:54:13,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:54:27,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:54:41,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:54:55,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:55:10,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:55:24,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:55:38,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:55:52,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:56:06,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:56:20,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:56:34,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:56:49,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:57:03,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:57:17,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:57:31,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:57:45,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:57:59,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:58:13,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:58:28,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:58:42,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:58:56,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:59:10,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:59:24,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:59:38,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:59:53,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 06:07:55,FFZ24,95.42,95.425,95.42,95.435,
2024-08-19 06:08:09,FFZ24,95.42,95.425,95.42,95.435,
2024-08-19 06:08:23,FFZ24,95.42,95.425,95.42,95.435,
2024-08-19 06:08:38,FFZ24,95.42,95.425,95.42,95.435,
2024-08-19 06:08:52,FFZ24,95.42,95.425,95.42,95.435,
2024-08-19 06:09:06,FFZ24,95.42,95.425,95.42,95.435,
2024-08-19 06:09:21,FFZ24,95.42,95.425,95.42,95.435,
2024-08-19 06:09:35,FFZ24,95.42,95.425,95.42,95.435,
2024-08-19 06:09:49,FFZ24,95.42,95.425,95.42,95.435,
2024-08-19 06:10:03,FFZ24,95.42,95.425,95.42,95.435,
2024-08-19 06:10:18,FFZ24,95.42,95.425,95.42,95.435,
2024-08-19 06:10:32,FFZ24,95.42,95.425,95.42,95.435,
2024-08-19 06:10:46,FFZ24,95.42,95.425,95.42,95.435,
2024-08-19 06:11:01,FFZ24,95.42,95.425,95.42,95.435,
2024-08-19 06:11:15,FFZ24,95.42,95.425,95.42,95.435,
2024-08-19 06:11:29,FFZ24,95.42,95.425,95.42,95.435,
2024-08-19 06:11:43,FFZ24,95.42,95.425,95.42,95.435,
2024-08-19 06:11:58,FFZ24,95.42,95.425,95.42,95.435,
2024-08-19 06:12:12,FFZ24,95.42,95.425,95.42,95.435,
2024-08-19 06:12:26,FFZ24,95.42,95.425,95.42,95.435,
2024-08-19 06:12:40,FFZ24,95.42,95.425,95.42,95.435,
2024-08-19 06:12:54,FFZ24,95.42,95.425,95.42,95.435,
2024-08-19 06:13:08,FFZ24,95.42,95.425,95.42,95.435,
2024-08-19 06:13:23,FFZ24,95.42,95.425,95.42,95.435,
2024-08-19 06:13:37,FFZ24,95.42,95.425,95.42,95.435,
2024-08-19 06:13:51,FFZ24,95.42,95.425,95.42,95.435,
2024-08-19 06:14:06,FFZ24,95.42,95.425,95.42,95.435,
2024-08-19 06:14:20,FFZ24,95.42,95.425,95.42,95.435,
2024-08-19 06:14:34,FFZ24,95.42,95.425,95.42,95.435,
2024-08-19 06:14:48,FFZ24,95.42,95.425,95.42,95.435,
2024-08-19 06:15:02,FFZ24,95.42,95.425,95.42,95.435,
2024-08-19 06:15:16,FFZ24,95.42,95.425,95.42,95.435,
2024-08-19 06:15:31,FFZ24,95.42,95.425,95.42,95.435,
2024-08-19 06:15:45,FFZ24,95.42,95.425,95.42,95.435,
