Instrument,BID,ASK,TRDPRC_1,OPEN_PRC,CLOSE_PRC
FFM25,96.32,96.33,,,
2024-08-19 05:48:52,FFM25,96.325,96.33,,,
2024-08-19 05:53:02,FFM25,96.325,96.33,,,
2024-08-19 05:53:16,FFM25,96.325,96.33,,,
2024-08-19 05:53:30,FFM25,96.325,96.33,,,
2024-08-19 05:53:45,FFM25,96.325,96.33,,,
2024-08-19 05:53:59,FFM25,96.325,96.33,,,
2024-08-19 05:54:13,FFM25,96.325,96.33,,,
2024-08-19 05:54:27,FFM25,96.325,96.33,,,
2024-08-19 05:54:41,FFM25,96.325,96.33,,,
2024-08-19 05:54:55,FFM25,96.325,96.33,,,
2024-08-19 05:55:10,FFM25,96.325,96.33,,,
2024-08-19 05:55:24,FFM25,96.325,96.33,,,
2024-08-19 05:55:38,FFM25,96.325,96.33,,,
2024-08-19 05:55:52,FFM25,96.325,96.33,,,
2024-08-19 05:56:06,FFM25,96.325,96.33,,,
2024-08-19 05:56:20,FFM25,96.325,96.33,,,
2024-08-19 05:56:34,FFM25,96.325,96.33,,,
2024-08-19 05:56:49,FFM25,96.325,96.33,,,
2024-08-19 05:57:03,FFM25,96.325,96.33,,,
2024-08-19 05:57:17,FFM25,96.325,96.33,,,
2024-08-19 05:57:31,FFM25,96.325,96.33,,,
2024-08-19 05:57:45,FFM25,96.32,96.33,96.325,96.325,
2024-08-19 05:57:59,FFM25,96.32,96.33,96.325,96.325,
2024-08-19 05:58:13,FFM25,96.32,96.33,96.325,96.325,
2024-08-19 05:58:28,FFM25,96.32,96.33,96.325,96.325,
2024-08-19 05:58:42,FFM25,96.32,96.33,96.325,96.325,
2024-08-19 05:58:56,FFM25,96.32,96.33,96.325,96.325,
2024-08-19 05:59:10,FFM25,96.32,96.33,96.325,96.325,
2024-08-19 05:59:24,FFM25,96.32,96.33,96.325,96.325,
2024-08-19 05:59:38,FFM25,96.32,96.33,96.325,96.325,
2024-08-19 05:59:53,FFM25,96.32,96.33,96.325,96.325,
2024-08-19 06:07:55,FFM25,96.33,96.335,96.325,96.325,
2024-08-19 06:08:09,FFM25,96.33,96.335,96.325,96.325,
2024-08-19 06:08:24,FFM25,96.33,96.335,96.325,96.325,
2024-08-19 06:08:38,FFM25,96.33,96.335,96.325,96.325,
2024-08-19 06:08:52,FFM25,96.33,96.335,96.325,96.325,
2024-08-19 06:09:06,FFM25,96.33,96.335,96.325,96.325,
2024-08-19 06:09:21,FFM25,96.33,96.335,96.325,96.325,
2024-08-19 06:09:35,FFM25,96.33,96.335,96.325,96.325,
2024-08-19 06:09:49,FFM25,96.33,96.335,96.325,96.325,
2024-08-19 06:10:03,FFM25,96.33,96.335,96.325,96.325,
2024-08-19 06:10:18,FFM25,96.33,96.335,96.325,96.325,
2024-08-19 06:10:32,FFM25,96.33,96.335,96.325,96.325,
2024-08-19 06:10:46,FFM25,96.33,96.335,96.325,96.325,
2024-08-19 06:11:01,FFM25,96.33,96.335,96.325,96.325,
2024-08-19 06:11:15,FFM25,96.33,96.335,96.325,96.325,
2024-08-19 06:11:29,FFM25,96.33,96.335,96.325,96.325,
2024-08-19 06:11:43,FFM25,96.33,96.335,96.325,96.325,
2024-08-19 06:11:58,FFM25,96.33,96.335,96.325,96.325,
2024-08-19 06:12:12,FFM25,96.33,96.335,96.325,96.325,
2024-08-19 06:12:26,FFM25,96.33,96.335,96.325,96.325,
2024-08-19 06:12:40,FFM25,96.33,96.335,96.325,96.325,
2024-08-19 06:12:54,FFM25,96.33,96.335,96.325,96.325,
2024-08-19 06:13:08,FFM25,96.33,96.335,96.325,96.325,
2024-08-19 06:13:23,FFM25,96.33,96.335,96.325,96.325,
2024-08-19 06:13:37,FFM25,96.33,96.335,96.325,96.325,
2024-08-19 06:13:51,FFM25,96.33,96.335,96.325,96.325,
2024-08-19 06:14:06,FFM25,96.33,96.335,96.325,96.325,
2024-08-19 06:14:20,FFM25,96.33,96.335,96.325,96.325,
2024-08-19 06:14:34,FFM25,96.33,96.335,96.325,96.325,
2024-08-19 06:14:48,FFM25,96.33,96.335,96.325,96.325,
2024-08-19 06:15:02,FFM25,96.33,96.335,96.325,96.325,
2024-08-19 06:15:16,FFM25,96.33,96.335,96.325,96.325,
2024-08-19 06:15:31,FFM25,96.33,96.335,96.325,96.325,
2024-08-19 06:15:45,FFM25,96.33,96.335,96.325,96.325,
2024-08-19 06:16:00,FFM25,96.33,96.335,96.325,96.325,
2024-08-19 06:16:14,FFM25,96.33,96.335,96.325,96.325,
2024-08-19 06:17:02,FFM25,96.33,96.335,96.325,96.325,
2024-08-19 06:17:16,FFM25,96.33,96.335,96.325,96.325,
2024-08-19 06:17:30,FFM25,96.33,96.335,96.325,96.325,
2024-08-19 06:17:45,FFM25,96.33,96.335,96.325,96.325,
2024-08-19 06:17:59,FFM25,96.33,96.335,96.325,96.325,
2024-08-19 06:18:13,FFM25,96.33,96.335,96.325,96.325,
2024-08-19 06:18:28,FFM25,96.33,96.335,96.325,96.325,
2024-08-19 06:18:42,FFM25,96.33,96.335,96.325,96.325,
2024-08-19 06:18:56,FFM25,96.33,96.335,96.325,96.325,
2024-08-19 06:19:11,FFM25,96.33,96.34,96.325,96.325,
2024-08-19 06:19:25,FFM25,96.33,96.34,96.325,96.325,
2024-08-19 06:19:40,FFM25,96.33,96.34,96.325,96.325,
2024-08-19 06:19:54,FFM25,96.335,96.34,96.325,96.325,
2024-08-19 06:20:09,FFM25,96.335,96.345,96.325,96.325,
2024-08-19 06:20:23,FFM25,96.335,96.34,96.325,96.325,
2024-08-19 06:20:38,FFM25,96.335,96.345,96.325,96.325,
2024-08-19 06:20:52,FFM25,96.335,96.345,96.325,96.325,
2024-08-19 06:21:06,FFM25,96.335,96.345,96.325,96.325,
2024-08-19 06:21:21,FFM25,96.335,96.34,96.325,96.325,
2024-08-19 06:21:35,FFM25,96.335,96.345,96.325,96.325,
2024-08-19 06:21:49,FFM25,96.335,96.345,96.325,96.325,
2024-08-19 06:22:04,FFM25,96.335,96.34,96.325,96.325,
2024-08-19 06:22:18,FFM25,96.335,96.345,96.325,96.325,
2024-08-19 06:22:33,FFM25,96.335,96.345,96.325,96.325,
2024-08-19 06:22:47,FFM25,96.335,96.345,96.325,96.325,
2024-08-19 06:23:02,FFM25,96.335,96.345,96.325,96.325,
2024-08-19 06:23:16,FFM25,96.335,96.345,96.325,96.325,
2024-08-19 06:23:30,FFM25,96.335,96.345,96.325,96.325,
2024-08-19 06:23:45,FFM25,96.34,96.345,96.325,96.325,
2024-08-19 06:23:59,FFM25,96.34,96.345,96.325,96.325,
2024-08-19 06:24:13,FFM25,96.34,96.345,96.325,96.325,
2024-08-19 06:24:28,FFM25,96.34,96.345,96.325,96.325,
2024-08-19 06:24:42,FFM25,96.34,96.345,96.325,96.325,
2024-08-19 06:24:57,FFM25,96.34,96.345,96.325,96.325,
2024-08-19 06:25:11,FFM25,96.34,96.345,96.325,96.325,
2024-08-19 06:25:25,FFM25,96.34,96.345,96.325,96.325,
2024-08-19 06:25:40,FFM25,96.34,96.35,96.325,96.325,
2024-08-19 06:25:54,FFM25,96.34,96.35,96.325,96.325,
2024-08-19 06:26:09,FFM25,96.34,96.35,96.325,96.325,
