Instrument,BID,ASK,TRDPRC_1,OPEN_PRC,CLOSE_PRC
FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:57:45,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 05:57:59,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:58:13,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:58:28,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:58:42,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:58:56,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:59:10,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:59:24,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:59:38,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 05:59:53,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:07:55,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:08:09,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:08:23,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:08:38,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:08:52,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:09:06,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:09:21,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:09:35,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:09:49,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:10:03,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:10:18,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:10:32,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:10:46,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:11:01,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:11:15,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:11:29,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:11:43,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:11:58,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:12:12,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:12:26,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:12:40,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:12:54,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:13:08,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:13:23,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:13:37,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:13:51,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:14:06,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:14:20,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:14:34,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:14:48,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:15:02,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:15:16,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:15:31,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:15:45,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:16:00,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:16:14,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:17:02,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:17:16,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:17:30,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:17:45,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:17:59,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:18:13,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:18:28,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:18:42,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:18:56,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:19:11,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:19:25,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:19:40,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:19:54,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:20:09,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:20:23,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:20:38,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:20:52,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:21:06,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:21:21,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:21:35,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:21:49,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:22:04,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:22:18,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:22:33,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:22:47,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:23:02,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:23:16,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:23:30,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:23:45,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:23:59,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:24:13,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:24:28,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:24:42,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:24:57,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:25:11,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:25:25,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 06:25:40,FFV24,94.985,94.99,94.99,94.99,
2024-08-19 06:25:54,FFV24,94.99,94.995,94.99,94.99,
2024-08-19 06:26:09,FFV24,94.99,94.995,94.99,94.99,
