Instrument,BID,ASK,TRDPRC_1,OPEN_PRC,CLOSE_PRC
FFU24,94.8,94.805,94.805,94.805,
2024-08-19 05:55:10,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 05:55:24,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 05:55:38,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 05:55:52,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 05:56:06,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 05:56:20,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 05:56:34,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 05:56:49,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 05:57:03,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 05:57:17,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 05:57:31,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 05:57:45,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 05:57:59,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 05:58:13,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 05:58:28,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 05:58:42,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 05:58:56,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 05:59:10,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 05:59:24,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 05:59:38,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 05:59:53,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:07:55,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:08:09,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:08:23,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:08:38,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:08:52,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:09:06,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:09:21,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:09:35,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:09:49,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:10:03,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:10:18,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:10:32,FFU24,94.805,94.81,94.805,94.805,
